id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
11,38.79,36.34,37.57,33.27,34.8,2.79,3.66,2.44,1.35,2.71,0.0,14.04,31.8,31.91,31.72,38.82,39.93,40.65,36.33,36.3,33.31,34.82,48.33,49.61,45.84,47.07,43.86,44.76,41.89,39.04,38.91,47.84,45.06,46.44,43.71,20.97,22.17,18.17,19.77,15.38,16.57,13.11,14.19,19.66,16.45,23.37,23.3,39.67,39.98,39.42,44.15,45.36,41.8,42.97,12.04,11.87,12.34,40.33,40.74,12.78,14.32,9.78,11.26,7.08,8.38,5.14,5.96,25.53,27.16,22.29,23.91,19.07,20.68,15.89,17.48,11.51,12.37,10.27,10.81,10.02,10.01,10.9,10.33,4.97,4.78,6.7,5.66,12.47,7.95,11.64,47.49,48.69,45.18,46.32,42.97,44.06,40.47,41.72,39.8,40.83,54.96,52.39,53.67,49.9,51.14,37.79,39.22,34.92,36.35,32.06,33.49,28.79,30.42,23.54,22.64,25.26,24.48,26.08,19.7,20.73,16.49,18.09,14.09,15.29,11.93,13.01,30.13,31.73,26.94,28.54,24.54,25.74,21.75,23.35,3.63,2.16,6.85,5.22,9.27,8.06,10.48,8.85,10.39,5.8,7.32,2.79,4.3,1.35,1.82,17.08,17.63,16.7,4.29,4.86,4.09,12.66,11.69,15.01,13.78,17.7,16.32,18.32,19.14,6.73,6.98
12,24.78,22.34,23.56,19.27,20.8,11.65,11.86,11.6,14.07,14.22,14.04,0.0,17.79,17.95,17.68,24.79,26.02,26.8,22.31,22.26,19.29,20.8,34.4,35.73,31.84,33.11,29.87,30.8,27.86,25.03,24.87,34.13,31.22,32.66,29.81,7.04,8.22,4.36,5.88,2.06,2.94,1.98,1.66,5.62,2.41,9.4,9.26,25.92,26.37,25.56,30.51,31.78,28.02,29.25,2.72,2.17,3.7,26.89,27.49,4.85,4.36,6.99,5.78,9.81,8.36,12.86,11.32,11.87,13.42,8.87,10.35,6.2,7.47,4.48,5.15,22.29,23.7,19.44,20.9,16.64,18.01,14.11,15.33,16.02,14.43,19.23,17.62,21.84,20.84,21.36,33.48,34.69,31.14,32.29,28.96,30.03,26.49,27.72,25.76,26.79,41.17,38.51,39.83,35.94,37.22,23.85,25.27,21.01,22.43,18.19,19.6,15.0,16.59,9.9,8.86,11.54,10.97,12.22,5.86,6.85,2.92,4.34,1.66,2.05,2.74,1.99,16.15,17.74,12.98,14.56,10.6,11.79,7.85,9.42,17.48,15.81,20.82,19.15,23.26,22.04,24.48,5.55,4.09,8.56,7.04,11.71,10.09,14.14,12.93,5.63,7.23,4.14,9.99,10.19,9.95,12.03,13.0,10.67,11.24,10.3,10.35,8.87,10.54,20.77,20.83
13,7.8,5.7,6.72,3.74,4.57,29.3,29.3,29.36,31.73,31.71,31.8,17.79,0.0,1.16,1.72,7.36,8.47,9.41,4.54,4.87,1.51,3.03,16.71,18.11,14.06,15.35,12.09,13.06,10.11,7.25,7.17,16.9,13.74,15.31,12.21,10.85,9.64,13.66,12.05,16.48,15.27,18.76,17.68,12.21,15.39,8.44,8.63,8.94,9.88,8.16,13.59,15.01,10.79,12.18,19.85,19.94,19.87,10.95,12.11,19.99,18.34,23.28,21.63,26.57,24.93,29.87,28.22,7.01,5.48,10.2,8.59,13.44,11.81,16.71,15.07,39.38,40.88,36.27,37.88,33.07,34.66,29.92,31.49,33.17,31.52,36.48,34.83,38.5,38.13,38.18,16.11,17.49,13.5,14.78,11.18,12.29,8.74,9.94,8.38,9.17,24.77,21.8,23.28,18.9,20.34,6.23,7.59,3.7,4.91,2.32,2.73,4.04,2.85,9.88,10.18,8.46,9.71,7.21,12.58,11.59,15.69,14.13,18.05,16.87,20.18,19.11,3.83,3.44,5.97,4.75,8.03,6.97,10.61,9.12,35.26,33.6,38.6,36.93,41.04,39.82,42.26,23.25,21.71,26.32,24.78,29.49,27.87,31.93,30.71,16.84,17.64,16.18,27.64,27.62,27.72,26.83,28.37,23.84,25.32,20.97,22.38,18.57,19.6,38.5,38.47
14,8.35,6.45,7.36,4.82,5.48,29.36,29.31,29.48,31.79,31.72,31.91,17.95,1.16,0.0,2.88,7.74,8.1,8.95,4.68,5.37,1.9,3.23,16.45,17.8,13.96,15.17,11.96,12.85,10.18,7.2,7.34,16.41,13.34,14.86,11.88,10.94,9.74,13.74,12.14,16.54,15.34,18.82,17.74,12.44,15.58,8.55,8.96,8.31,9.13,7.69,12.99,14.38,10.26,11.61,19.9,20.09,19.85,10.11,11.2,19.88,18.23,23.19,21.53,26.49,24.84,29.8,28.15,6.72,5.1,9.99,8.35,13.28,11.64,16.58,14.93,39.76,41.25,36.68,38.28,33.52,35.09,30.41,31.96,33.11,31.46,36.42,34.76,38.94,38.07,38.6,16.39,17.82,13.64,15.0,11.13,12.35,8.56,9.83,8.76,9.38,25.25,22.23,23.74,19.27,20.75,5.9,7.32,3.11,4.49,1.16,1.85,3.51,2.02,10.54,10.74,9.22,10.48,7.97,12.95,12.0,16.0,14.47,18.31,17.15,20.42,19.36,4.9,4.6,6.72,5.66,8.61,7.63,11.06,9.64,35.41,33.74,38.73,37.07,41.17,39.95,42.38,23.46,21.94,26.51,24.98,29.66,28.04,32.08,30.87,17.36,18.24,16.6,27.71,27.64,27.85,27.38,28.89,24.45,25.9,21.67,23.04,19.25,20.34,38.59,38.5
15,7.24,4.9,6.06,2.28,3.5,29.29,29.37,29.28,31.72,31.78,31.72,17.68,1.72,2.88,0.0,7.11,9.28,10.3,4.87,4.58,2.3,3.5,17.23,18.7,14.38,15.78,12.49,13.54,10.25,7.66,7.26,17.75,14.48,16.11,12.88,10.94,9.75,13.74,12.14,16.53,15.33,18.81,17.73,12.05,15.27,8.56,8.42,10.05,11.13,9.08,14.62,16.06,11.73,13.17,19.89,19.85,20.03,12.3,13.53,20.26,18.64,23.52,21.89,26.78,25.15,30.06,28.42,7.76,6.41,10.72,9.21,13.84,12.27,17.03,15.43,38.87,40.39,35.72,37.36,32.47,34.09,29.25,30.85,33.34,31.7,36.63,34.99,37.9,38.28,37.62,15.85,17.14,13.46,14.62,11.47,12.4,9.26,10.33,8.1,9.12,24.14,21.26,22.69,18.48,19.86,7.05,8.27,4.96,5.92,4.04,4.29,5.23,4.37,9.07,9.56,7.51,8.72,6.31,12.2,11.18,15.38,13.79,17.78,16.58,19.94,18.86,2.37,1.72,5.13,3.66,7.43,6.27,10.16,8.6,35.12,33.45,38.47,36.8,40.92,39.7,42.14,23.04,21.49,26.14,24.59,29.32,27.69,31.77,30.55,16.19,16.85,15.7,27.63,27.69,27.63,26.09,27.66,23.0,24.53,20.01,21.49,17.65,18.57,38.44,38.48
16,1.4,2.88,1.9,5.77,4.29,36.41,36.48,36.38,38.83,38.89,38.82,24.79,7.36,7.74,7.11,0.0,5.21,6.27,3.21,2.54,5.91,4.51,10.93,12.54,7.76,9.34,6.17,7.38,3.53,2.8,1.4,12.43,9.05,10.74,7.37,18.03,16.83,20.83,19.23,23.64,22.44,25.92,24.84,19.16,22.38,15.63,15.53,7.17,8.65,5.68,10.31,11.72,7.58,8.93,27.0,26.96,27.11,10.14,11.63,27.29,25.66,30.57,28.93,33.85,32.21,37.13,35.49,14.36,12.79,17.55,15.95,20.78,19.16,24.03,22.4,45.71,47.25,42.52,44.18,39.21,40.86,35.92,37.56,40.43,38.78,43.72,42.07,44.63,45.37,44.4,8.78,10.14,6.39,7.51,4.97,5.5,4.03,4.32,1.02,2.13,17.52,14.5,16.0,11.55,13.01,4.4,4.19,5.95,5.03,8.26,7.05,11.24,9.72,15.82,16.48,14.14,15.24,13.06,19.24,18.21,22.44,20.84,24.85,23.65,27.01,25.93,8.85,7.28,12.02,10.44,14.4,13.21,17.18,15.6,42.22,40.54,45.57,43.89,48.02,46.79,49.24,30.12,28.57,33.22,31.67,36.41,34.78,38.86,37.64,22.99,23.44,22.65,34.74,34.8,34.73,32.66,34.29,29.44,31.04,26.26,27.84,24.01,24.69,45.55,45.59
17,6.6,7.35,6.88,9.17,8.16,37.34,37.23,37.51,39.76,39.64,39.93,26.02,8.47,8.1,9.28,5.21,0.0,1.13,4.6,5.89,7.09,5.79,8.4,9.71,6.3,7.24,4.32,4.94,4.03,2.45,3.83,8.47,5.27,6.85,3.79,18.99,17.81,21.77,20.18,24.55,23.36,26.82,25.74,20.54,23.67,16.63,17.04,2.09,3.54,0.78,5.51,6.97,2.59,4.05,27.89,28.15,27.75,5.01,6.5,27.67,26.02,30.98,29.33,34.29,32.64,37.6,35.95,14.46,12.81,17.76,16.11,21.06,19.41,24.37,22.72,47.83,49.32,44.73,46.34,41.54,43.13,38.39,39.96,40.91,39.26,44.22,42.57,46.97,45.87,46.65,10.32,11.91,7.15,8.74,4.0,5.57,1.57,2.71,5.49,4.58,19.86,16.68,18.27,13.5,15.09,2.25,1.14,5.01,3.61,7.87,6.44,11.16,9.52,18.29,18.65,16.77,17.99,15.55,21.02,20.05,24.09,22.55,26.41,25.25,28.51,27.46,11.58,10.31,14.34,12.94,16.49,15.41,19.08,17.6,43.45,41.79,46.77,45.11,49.19,47.98,50.4,31.54,30.03,34.59,33.06,37.72,36.11,40.14,38.93,25.31,26.07,24.65,35.7,35.56,35.88,35.28,36.83,32.24,33.76,29.29,30.75,26.92,27.85,46.58,46.44
18,7.65,8.48,7.98,10.28,9.29,38.04,37.89,38.24,40.45,40.3,40.65,26.8,9.41,8.95,10.3,6.27,1.13,0.0,5.71,7.03,8.08,6.83,7.77,8.96,6.06,6.77,4.21,4.55,4.62,3.56,4.9,7.49,4.42,5.91,3.14,19.76,18.59,22.52,20.94,25.28,24.1,27.54,26.47,21.36,24.46,17.42,17.9,1.57,2.78,1.26,4.39,5.85,1.46,2.93,28.61,28.92,28.43,4.18,5.62,28.3,26.65,31.61,29.96,34.91,33.26,38.22,36.57,15.13,13.49,18.42,16.77,21.71,20.06,25.01,23.36,48.71,50.19,45.63,47.22,42.45,44.04,39.32,40.88,41.52,39.87,44.83,43.18,47.88,46.48,47.54,10.56,12.14,7.38,8.97,4.21,5.8,2.37,3.13,6.46,5.42,20.09,16.91,18.5,13.73,15.32,3.26,2.27,5.83,4.5,8.62,7.21,11.86,10.23,19.27,19.59,17.77,19.01,16.55,21.9,20.94,24.94,23.41,27.24,26.08,29.32,28.28,12.63,11.39,15.32,13.95,17.44,16.37,19.98,18.52,44.19,42.54,47.5,45.84,49.92,48.71,51.13,32.34,30.83,35.36,33.85,38.49,36.88,40.89,39.69,26.24,27.04,25.54,36.41,36.24,36.62,36.24,37.78,33.23,34.73,30.3,31.75,27.92,28.88,47.28,47.11
19,4.18,3.38,3.6,4.57,3.71,33.84,33.84,33.9,36.27,36.25,36.33,22.31,4.54,4.68,4.87,3.21,4.6,5.71,0.0,1.69,3.03,1.51,12.36,13.84,9.56,10.93,7.64,8.68,5.57,2.79,2.66,12.99,9.67,11.33,8.04,15.39,14.18,18.2,16.59,21.02,19.81,23.3,22.22,16.71,19.91,12.98,13.1,5.88,7.23,4.61,10.1,11.56,7.17,8.64,24.39,24.47,24.41,8.63,10.06,24.5,22.85,27.79,26.14,31.09,29.44,34.4,32.75,11.39,9.77,14.64,13.01,17.92,16.28,21.21,19.56,43.72,45.24,40.58,42.21,37.33,38.95,34.12,35.72,37.7,36.05,41.01,39.35,42.77,42.66,42.48,11.72,13.16,8.99,10.32,6.66,7.75,4.39,5.48,4.2,4.71,20.7,17.64,19.16,14.63,16.13,2.58,3.51,2.81,2.28,5.08,3.84,8.17,6.6,13.94,14.42,12.35,13.55,11.17,16.98,15.98,20.14,18.56,22.52,21.33,24.66,23.59,7.08,5.72,10.0,8.51,12.28,11.13,14.98,13.43,39.79,38.12,43.13,41.46,45.57,44.35,46.79,27.74,26.2,30.83,29.29,34.0,32.38,36.44,35.22,21.06,21.71,20.53,32.18,32.16,32.25,30.95,32.53,27.84,29.39,24.81,26.32,22.47,23.34,43.04,43.01
20,2.98,1.69,2.09,3.51,2.28,33.87,33.94,33.86,36.3,36.35,36.3,22.26,4.87,5.37,4.58,2.54,5.89,7.03,1.69,0.0,3.49,2.29,12.99,14.55,9.98,11.47,8.19,9.33,5.76,3.65,2.82,14.02,10.65,12.33,8.96,15.49,14.29,18.29,16.69,21.1,19.89,23.38,22.3,16.63,19.85,13.09,13.0,7.41,8.82,6.05,11.38,12.84,8.48,9.93,24.46,24.43,24.57,10.24,11.69,24.75,23.12,28.03,26.39,31.31,29.67,34.59,32.95,11.88,10.34,15.04,13.45,18.25,16.64,21.5,19.87,43.31,44.84,40.13,41.78,36.85,38.49,33.58,35.21,37.88,36.24,41.18,39.53,42.27,42.83,42.02,11.31,12.65,8.89,10.05,7.08,7.88,5.3,6.1,3.55,4.55,19.91,16.93,18.41,14.04,15.48,4.13,4.76,4.31,3.97,6.06,5.05,8.83,7.39,13.43,14.03,11.77,12.91,10.65,16.74,15.72,19.94,18.34,22.34,21.14,24.51,23.43,6.44,4.92,9.57,8.0,11.93,10.75,14.7,13.12,39.7,38.02,43.05,41.38,45.5,44.28,46.72,27.61,26.06,30.71,29.16,33.9,32.27,36.35,35.12,20.59,21.12,20.2,32.21,32.26,32.21,30.36,31.97,27.17,28.76,24.06,25.61,21.77,22.53,43.02,43.05
